Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE
TCGA-KR-A7K2-01A-12R-A33R-07,0.028901936,0,0,0.011456866,0,0.530540667,0,0,0.108736987,0,0,0.056538649,0.010524353,0,0.046406557,0.188559021,0,0.001709095,0.01662587,0,0,0,0.8,-0.017259626,1.131479024
TCGA-DD-AADM-01A-11R-A41C-07,0.030138078,0,0.017864533,0.083359906,0,0.155862075,0,0,0.149974176,0,0.001822379,0.066161101,0.004684278,0.107896905,0.08081945,0.227917054,0.012165513,0,0.061334551,0,0,0,0.602,0.002693571,1.090806636
TCGA-XR-A8TG-01A-11R-A36F-07,0.038246161,0,0.033748086,0.030018316,0,0.196338668,0,0.007904602,0.0771858,0,0,0.079096614,0.019545834,0.068811018,0.130806105,0.108234825,0.047725918,0,0,0.130615766,0.029514586,0.002207702,0.583,0.005119372,1.100811738
TCGA-DD-AACD-01A-11R-A41C-07,0.022890975,0,0.004464348,0.08181326,0,0.113329154,0,0.006881359,0.064544505,0.013245726,0.043376935,0.057618137,0.015678258,0.049902711,0.099789222,0.287212672,0.015312413,0,0.121156285,0,0,0.00278404,0.418,0.027134994,1.082502556
TCGA-3K-AAZ8-01A-12R-A39D-07,0.041267444,0,0.001661808,0.141704329,0,0.390763142,0,0.030252793,0.093715631,0,0,0.082926028,0.01053447,0.01393598,0.05250201,0.112188859,0,0.003853444,0.024694063,0,0,0,0.724,-0.009097741,1.136503938
TCGA-DD-AAD0-01A-11R-A41C-07,0.017684562,0,0,0,0,0.14627052,0,0.008381598,0.071536963,0.007926485,0.004189042,0.011217488,0,0.339526332,0.102827671,0.035955467,0.008848516,0,0.237157243,0,0.006773699,0.001704413,0.104,0.123957844,1.063014439
TCGA-DD-AADJ-01A-11R-A41C-07,0.071131273,0,0,0.162781849,0,0.170970491,0.082228438,0,0.076861077,0,0.022131535,0.041703643,0.062868228,0.020095368,0.063675532,0.068592274,0.082533895,0,0.074426395,0,0,0,0.913,-0.032484602,1.097585225
TCGA-ES-A2HS-01A-11R-A180-07,0.044929991,0,0,0.044804835,0,0.23634087,0,0,0.01540767,0.01351412,0,0.094824348,0.014876079,0,0.06496836,0.405250719,0.011487005,0,0.053596003,0,0,0,0.949,-0.039810783,1.118777677
TCGA-HP-A5N0-01A-11R-A28V-07,0.002244244,0,0,0.081736955,0,0.096984002,0,0.013416319,0.037103864,0,0.045400384,0.134640503,0.037988916,0.077417795,0.081231811,0.186054334,0.078708455,0,0.127072415,0,0,0,0.547,0.01005902,1.098651532
TCGA-ED-A7XP-01A-11R-A352-07,0.05488971,0,0.003138495,0.111806307,0,0.121528503,0,0,0.085726989,0,0,0.084071467,0.01142243,0.109759182,0.09492569,0.225304784,0.036995985,0,0.060430459,0,0,0,0.413,0.028104274,1.082899848
