"","cor","pvalue"
"MMRN2",0.512781097338079,7.98817114791682e-17
"MNDA",0.610612025471503,6.82631526467889e-25
"MOXD1",0.620752314315174,1.41710241130706e-25
"MPEG1",0.612905147421535,4.07951616337117e-25
"MRVI1",0.503519684429631,3.45428323088695e-16
"MS4A1",0.697186015573762,6.21434863942306e-34
"MS4A4A",0.575551365193954,1.09158741515319e-21
"MS4A6A",0.660418519683695,3.40947647358565e-30
"MS4A7",0.585981750126401,1.33440433846179e-22
"MYCT1",0.576255038330932,9.49512289167723e-22
"MYH11",0.536325948316649,1.56989993126442e-18
"MYL9",0.520189089093262,2.39721245662261e-17
"MYO1F",0.652447531488591,2.80748672806773e-29
"MYO1G",0.578344911347981,6.2630434199705e-22
"MZB1",0.544022190001397,9.86960547822265e-19
"NAPSB",0.69201899831266,4.07635246632779e-34
"NCF1",0.553279436635285,9.16673201782722e-20
"NCF4",0.58506597862419,1.60969678485854e-22
"NCKAP1L",0.631609629449473,5.20767343827835e-27
"NCR3",0.761134742419083,2.22546655104165e-44
"NEXN",0.520992915744923,2.09998197672363e-17
"NFAM1",0.538641464956738,1.04895181129743e-18
"NFATC1",0.513222483434411,7.44142655247531e-17
"NGFR",0.58550602269891,1.47107514208279e-22
"NKG7",0.513035375757493,7.66856855966254e-17
"NLRC3",0.653062532718841,2.39140807540272e-29
"NLRP3",0.519751216271001,3.54476812481421e-17
"NMUR1",0.501801174691091,6.05475466435595e-16
"P2RX1",0.550404167202732,1.5464456535552e-19
"P2RX5",0.506480329815057,4.60984570559649e-16
"P2RY10",0.659425255854165,1.40526386371475e-29
"P2RY13",0.543482474537174,4.46951611695868e-19
"P2RY14",0.509532345407391,1.82022983461321e-16
"PARP15",0.521349956159326,1.97984252215016e-17
"PARP8",0.541340318847771,6.53042326909858e-19
"PARVG",0.664216980927662,1.22026987121384e-30
"PDCD1LG2",0.547036747329411,2.36818136156716e-19
"PDE1A",0.593032168263672,4.78130436330774e-23
"PDE1B",0.526783334983576,8.00842700718881e-18
"PDE6G",0.591401566638981,4.34399801199326e-23
"PDZD4",0.514983027590488,7.6576687739216e-17
"PECAM1",0.577598339043095,7.26927812577982e-22
"PIK3CD",0.600614652928283,6.1377934889193e-24
"PIK3CG",0.520943091614982,2.11730533210297e-17
"PIK3R5",0.610413914540263,7.13537338577327e-25
"PIK3R6",0.503215963306202,3.62149082119016e-16
"PILRA",0.500168812015755,5.80402491825378e-16
"PIM2",0.527846249165443,6.69610782660631e-18
"PIP4K2A",0.558091039162099,3.12777035431735e-20
"PLAC9",0.533177225061779,2.70305149738747e-18
"PLAU",0.51143075244716,9.91679359138222e-17
"PLCB2",0.649932070722742,5.3898905893198e-29
"PLCL1",0.518472546775023,3.17664409367294e-17
"PLEK",0.614167775952061,3.06706236987353e-25
"PLEKHO1",0.54778400605518,2.07015650271584e-19
"PLEKHO2",0.581991019642429,3.00874538154596e-22
"PLN",0.538125401415001,7.71002955415432e-18
"PODN",0.609378081492409,1.43618762365652e-24
"POU2AF1",0.535906715738035,6.65474926390525e-18
"PPP1R14A",0.505996964874449,2.3450224673131e-16
"PPP1R16B",0.637250733146612,1.31748200697237e-27
"PRDM1",0.613989780050735,3.19316153517432e-25
"PRELP",0.571063349332769,3.21763955305337e-21
"PREX1",0.631968663760179,4.77551038106278e-27
"PRF1",0.575296437678063,1.14805217709645e-21
"PRKCB",0.632682587447763,4.01845800656521e-27
"PRKCH",0.619213788087249,9.68292835216325e-26
"PRKCQ",0.661590440741069,3.32403923350882e-30
"PRR16",0.575875594329367,3.47382766197241e-21
"PSTPIP1",0.609002326143652,9.77343894409407e-25
"PTGDR",0.645529568134433,8.49177457395113e-28
"PTGDS",0.641334006396464,4.78505919660618e-28
"PTGER2",0.684201219746228,5.82020739403842e-33
"PTGER4",0.582388660340034,2.77600008054175e-22
"PTGIR",0.599259344080693,8.217818594115e-24
"PTGIS",0.549036585728506,7.05570358495757e-19
"PTPLAD2",0.66167121377539,2.43356804839751e-30
"PTPN22",0.63874583202334,9.10875933802817e-28
