"","cor","pvalue"
"PON1",-0.0456848214659498,0.384153980712193
"GCFC2",-0.092941519607064,0.0761632879648657
"WDR54",0.228056141849484,1.08160714176872e-05
"CROT",0.111201401939931,0.0336865713821657
"ABCB4",-0.218458085030787,2.55051938484953e-05
"KMT2E",-0.0278902088419453,0.595337468848927
"RHBDD2",0.00322421858215695,0.951050621723678
"SOX8",0.355600437974728,2.54940938682454e-12
"IBTK",-0.0475255745159439,0.365268290088846
"ZNF195",0.0237410308412947,0.65121156531794
"MYCBP2",0.129928249520645,0.0129806236980045
"FBXL3",0.103090385364251,0.049064612197635
"ITGAL",0.405735194885698,6.75247569817812e-16
"PDK2",-0.273129373546321,1.1493961438807e-07
"ITGA3",0.183753997495734,0.000417659830270398
"ZFX",0.0676472610455866,0.197243920118883
"LAMP2",-0.0665732912197895,0.204467307704846
"ITGA2B",-0.0222224766926823,0.67218158236305
"ASB4",-0.208592171299376,5.92600096963507e-05
"GDE1",-0.0388568497310312,0.459244005687891
"REX1BD",0.0511210727192997,0.330079555592142
"CRLF1",0.0992501378417696,0.0581789818547824
"OSBPL7",0.244973208872007,2.17422486417055e-06
"TMEM98",0.0380622497986233,0.468484713774682
"YBX2",-0.00313671774931878,0.95237744615673
"MAP3K14",-0.064198139998318,0.221118538075468
"ABCC8",-0.0663831131356401,0.205766141198745
"TMEM132A",0.106018932385514,0.0429444851993573
"AP2B1",-0.0828479959755758,0.114084646132603
"ZNF263",0.0620495556719414,0.236995994409344
"CX3CL1",0.169558032639661,0.00114649448978106
"SPATA20",0.0159073077318029,0.761977177889261
"CACNA1G",-0.00948965615572061,0.856617325470155
"TNFRSF12A",0.0544080636390877,0.299890984477806
"MAP3K9",-0.118497587909263,0.0235673168595499
"RALA",0.0397402598924986,0.449090946728316
"BAIAP2L1",0.0961532755546744,0.0665118502328498
"KDM7A",0.111653329868122,0.0329666604414503
"ETV1",-0.0679311444190116,0.195366021684191
"AGK",-0.0614734147859243,0.24138669956574
"ALDH3B1",0.145837154975545,0.00524484956018524
"TTC22",0.00108222458212419,0.983560785392752
"PHTF2",0.106888835270207,0.0412553757430059
"CCL26",0.205985145997298,7.35693075008807e-05
"FARP2",-0.0357806842108685,0.495578888044037
"USH1C",-0.0633981221208539,0.226939317042566
"GGCT",0.0748769193902922,0.1534014080396
"DBF4",-0.00200784469385066,0.969505672577236
"TBXA2R",0.361878338534766,9.8094372609934e-13
"IFRD1",0.0530837679475026,0.311825708489188
"COX10",0.0204127891575072,0.697506504850886
"GTF2IRD1",-0.246107551687513,1.94412372595196e-06
"PAF1",0.0468961581150119,0.371659979588265
"VPS41",-0.0525190109981218,0.317008931918851
"ARHGAP44",0.021765286865786,0.678546031115053
"ELAC2",0.0771968363209145,0.141025733698083
"SCIN",0.0244516565859537,0.641490733985726
"ARSD",-0.276721581911843,7.70420515867738e-08
"PNPLA4",-0.139249942230496,0.00771640486074764
"ADIPOR2",-0.192369597776373,0.000217991383898903
"CDKL3",-0.0363436156539686,0.488817472794752
"UPP2",0.0687542163671469,0.189995224330218
"PRSS21",0.0268871497249409,0.608644781515786
"MARK4",-0.00641540108659105,0.902782668923182
